,video_id,t1,t2,t3,t4,t5,t6,t7
366,28qQWHLl0-w,,,,,,,0.9986704
367,NfzEXyRpspk,,0.44454983,,,,0.08244739,0.47132495
368,4KjIPAJXxNM,,0.08231373,,,,0.059283573,0.8572786
369,Zp_xKVHgN8w,,,,,,,0.99783677
370,yldaHts8rnQ,,,,,,,0.99875134
371,68Vvfmn12e8,,0.30566347,,,,0.15739776,0.5343851
372,H8rhVSmg7zo,,0.3567088,,,,0.15808323,0.48397684
373,HkHeDvxm2_A,,,0.10384366,,,0.07915881,0.81507075
374,VTmatU0udyI,,0.3913316,,,,0.0732462,0.533161
375,tTxZZ48FG4s,,0.2758735,,,,0.19022346,0.5330411
376,0Rju0k-3cPc,,,,,,,0.99795085
377,XnZfdw8E2F0,,0.11362806,,,,0.44281334,0.44233856
378,wsB4NJt5Pso,,0.013937626,,,,,0.9825854
379,VUcUDZzpDw4,,,,,,,0.99696636
380,ab3hAjRl-yg,,,,,,,0.9983489
381,PgiPcNRDcfI,,0.07314981,,,,0.50923014,0.41544387
382,4wMW8_jlclc,,0.028368602,,,,0.53086483,0.43920556
383,7CDShkkAKYE,,,,,,,0.99739033
384,oNfaCTVeZTI,,,,,,,0.99776757
385,gwPY0ifUjcM,,0.36710635,,,,0.16771914,0.4631289
386,bPVnYu2KyUs,,0.61799145,,,,,0.37884343
387,RgcpFdRnguk,,0.036238868,,,,0.15953694,0.8011646
388,Yar0cbSIy-s,,0.18937449,,,,0.0126917595,0.79695034
389,_2hy5mWlw5Q,,0.25384784,,,,0.11042443,0.6345859
390,F-DKqz5IWZY,,,,,,,0.99862283
391,R87gEp7IUQw,,,,,,,0.9972296
392,poF7MM6rv8k,,,,,,,0.9923025
393,MrdPCVURAm4,,0.5051784,0.010362057,,,,0.48282856
394,ziBQKUK0VX0,,0.08103695,,,,,0.9152574
395,tUDZQcwvrXo,,0.5144941,,,,,0.48302108
396,33-bKW0FGX8,,0.4509685,,,,0.14681154,0.40119773
397,cHvrkoLiuuY,,0.07510109,,,,0.100507595,0.82202697
398,fYMW1l8mBtM,,0.010592259,,,,,0.9854104
399,48wGs9mauzw,,,,,,0.24674213,0.75116414
400,L_vMQxWkh68,,,,,,,0.9987512
401,t4E0usq1oS0,,0.1820764,0.01575662,,,,0.7997614
402,mE0MdYBIw6I,,0.3204545,,,,0.37343323,0.3038586
403,C4ApR6w-r-Y,,,,,,,0.99748975
404,LJ6YKgBirPE,,0.070327885,,,,,0.9208739
405,eQsstCaI3ig,,,,,,,0.9975103
406,2pozHM3T34o,,0.5554379,,,,,0.44094953
407,lw8my5e1KWg,,,,,,,0.9984534
408,3BJVTypIMI4,,,,,,,0.9946984
409,ax2qRGjqR_0,,,,,,,0.99653655
410,CZDUVyTxoIc,,,,,,,0.9990606
411,_XeB1N5M6aE,,0.52521515,,,,0.09177612,0.38173166
412,Oqy9Fb0RpMY,,,,,,,0.9987165
413,1a8TQZjJ6CA,,,,,,,0.99626637
414,U0cyc8_laSg,,,,,,,0.99699634
415,rSK-ACPvZe4,,,,,,0.6367881,0.35775006
416,2kmXp5-sXbE,,0.12717544,,,,0.26833585,0.6038027
417,zZ-sstNtOwk,,0.24930188,,,,0.10304316,0.64651936
418,ZY42TL3Egws,,,0.11328712,,,,0.88381773
419,ehSsnqKXxas,,,,,,,0.99890476
420,n9a8etNVNYY,,,,,,,0.99606144
421,Oli-AjGQqv8,,0.082115926,,,,0.25631812,0.6603465
422,15zcY7LwEe0,,,,,,,0.9972128
423,2HWtzXYwidc,,0.34017482,,,,,0.6579476
424,llvbmN07Nys,,,,,,,0.9984985
425,ZqN047Wsuaw,,,,,,,0.99788624
426,9Z6IGIoWwdk,,0.12761611,0.011506405,,,0.05215271,0.8072148
427,aaDs3aYtGy4,,,,,,,0.99682134
428,oKFlb17CyFY,,0.33242008,,,,0.0295559,0.6363013
429,cy-o4O6w6Fg,,0.038173433,,,,,0.9599732
430,B17sSi3vCR0,,,,,,,0.99848515
431,UYDhdCw_Mug,,0.24881224,,,,0.28624502,0.46314916
432,mw1FK74-Hu8,,,,,,,0.99753875
